source_file,filename,question,answer
demo_ocr_output.parquet,2009_maths_2.pdf,"33. Let ABC and ABC' be two non-congruent triangles with sides AB = 4 , AC = AC' = 2\sqrt{2} and angle B = 30^\circ . The absolute value of the difference between the areas of these triangles is",
demo_ocr_output.parquet,2009_maths_2.pdf,"34. Let p(x) be a polynomial of degree 4 having extremum at x = 1, 2 and \lim_{x \rightarrow 0} \left( 1 + \frac{p(x)}{x^2} \right) = 2. Then the value of p(2) is",
demo_ocr_output.parquet,2009_maths_2.pdf,35. Let f: \mathbb{R} \rightarrow \mathbb{R} be a continuous function which satisfies f(x) = \int_0^x f(t) dt. Then the value of f(\ln 5) is,
demo_ocr_output.parquet,2009_maths_2.pdf,"36. The centres of two circles C_1 and C_2 each of unit radius are at a distance of 6 units from each other. Let P be the mid point of the line segment joining the centres of C_1 and C_2 and C be a circle touching circles C_1 and C_2 externally. If a common tangent to C_1 and C passing through P is also a common tangent to C_2 and C , then the radius of the circle C is",
demo_ocr_output.parquet,2009_maths_2.pdf,"37. The smallest value of k , for which both the roots of the equation x^2 - 8kx + 16(k^2 - k + 1) = 0 are real, distinct and have values at least 4, is",
demo_ocr_output.parquet,2009_maths_2.pdf,"38. If the function f(x) = x^3 + e^{x/2} and g(x) = f^{-1}(x) , then the value of g'(1) is",
demo_ocr_output.parquet,2019_maths_1.pdf,"Q.6 At 143 K, the reaction of XeF\(_4\) with O\(_2\)F\(_2\) produces xenon compound Y. The total number of lone Pair(s) of electrons present on the whole molecule of Y is .....",19.00
demo_ocr_output.parquet,2019_maths_1.pdf,"Q.1 Let $M = \begin{bmatrix} \sin^4 \theta & -1 - \sin^2 \theta \\ 1 + \cos^2 \theta & \cos^4 \theta \end{bmatrix} = \alpha I + \beta M^{-1}$ , where $\alpha = \alpha(\theta)$ and $\beta = \beta(\theta)$ are real numbers, and $I$ is the $2 \times 2$ identity matrix. If $\alpha^*$ is the minimum of the set $\{\alpha(\theta) : \theta \in [0, 2\pi)\}$ and $\beta^*$ is the minimum of the set $\{\beta(\theta) : \theta \in [0, 2\pi)\}$ , then the value of $\alpha^* + \beta^*$ is

A. $-\frac{37}{16}$

B. $-\frac{31}{16}$

C. $-\frac{17}{16}$

D. $-\frac{29}{16}$",D
demo_ocr_output.parquet,2019_maths_1.pdf,"Q.2 The area of the region $\{(x, y) : xy \leq 8, 1 \leq y \leq x^2\}$ is A. $16 \log_e 2 - 6$ B. $8 \log_e 2 - \frac{14}{3}$ C. $16 \log_e 2 - \frac{14}{3}$ D. $8 \log_e 2 - \frac{7}{3}$",C
demo_ocr_output.parquet,2019_maths_1.pdf,"Q.3 Let $S$ be the set of all complex numbers $z$ satisfying $|z - 2 + i| \geq \sqrt{5}$. If the complex number $z_0$ is such that $\frac{1}{|z_0 - 1|}$ is the maximum of the set $\left\{ \frac{1}{|z - 1|} : z \in S \right\}$ , then the principal argument of $\frac{4 - z_0 - \overline{z_0}}{z_0 - \overline{z_0} + 2i}$ is

A. $\frac{3\pi}{4}$

B. $\frac{\pi}{4}$

C. $-\frac{\pi}{2}$

D. $\frac{\pi}{2}$",C
demo_ocr_output.parquet,2019_maths_1.pdf,"Q.4 A line $y = mx + 1$ intersects the circle $(x - 3)^2 + (y + 2)^2 = 25$ at the points $P$ and $Q$. If the midpoint of the line segment $PQ$ has $x$‑coordinate $-\frac{3}{5}$ , then which one of the following options is correct?

A. $4 \leq m < 6$

B. $-3 \leq m < -1$

C. $2 \leq m < 4$

D. $6 \leq m < 8$",C
demo_ocr_output.parquet,2019_maths_1.pdf,"Q.1 Let $\alpha$ and $\beta$ be the roots of $x^2 - x - 1 = 0$, with $\alpha > \beta$. For all positive integers $n$, define $a_n = \frac{\alpha^n - \beta^n}{\alpha - \beta},\; n \geq 1$, $b_1 = 1$ and $b_n = a_{n-1} + a_{n+1},\; n \geq 2$. Then which of the following options is/are correct?

A. $\displaystyle \sum_{n=1}^{\infty} \frac{b_n}{10^n} = \frac{8}{89}$

B. $b_n = \alpha^n + \beta^n$ for all $n \geq 1$

C. $a_1 + a_2 + a_3 + \dots + a_n = a_{n+2} - 1$ for all $n \geq 1$

D. $\displaystyle \sum_{n=1}^{\infty} \frac{a_n}{10^n} = \frac{10}{89}$","B, C, D"
demo_ocr_output.parquet,2019_maths_1.pdf,"Q.2 In a non‑right‑angled triangle $\triangle PQR$, let $p, q, r$ denote the lengths of the sides opposite to the angles at $P, Q, R$ respectively. The median from $R$ meets the side $PQ$ at $S$, the perpendicular from $P$ meets the side $QR$ at $E$, and $RS$ and $PE$ intersect at $O$. If $p = \sqrt{3}$, $q = 1$, and the radius of the circumcircle of $\triangle PQR$ equals $1$, then which of the following options is/are correct?

A. length of $OE = \frac{1}{6}$

B. Radius of incircle of $\triangle PQR = \frac{\sqrt{3}}{2}(2-\sqrt{3})$

C. Length of $RS = \frac{\sqrt{7}}{2}$

D. Area of $\triangle SOE = \frac{\sqrt{3}}{12}$","A, B, C"
demo_ocr_output.parquet,2019_maths_1.pdf,"Q.3 Let $\Gamma$ denote a curve $y = y(x)$ which is in the first quadrant and let the point $(1, 0)$ lie on it. Let the tangent to $\Gamma$ at a point $P$ intersect the $y$‑axis at $Y_P$. If $PY_P$ has length $1$ for each point $P$ on $\Gamma$, then which of the following option is/are correct?

A. $y = \log_e \left( \frac{1 + \sqrt{1 - x^2}}{x} \right) - \sqrt{1 - x^2}$

B. $x y' + \sqrt{1 - x^2} = 0$

C. $y = -\log_e \left( \frac{1 + \sqrt{1 - x^2}}{x} \right) + \sqrt{1 - x^2}$

D. $x y' - \sqrt{1 - x^2} = 0$","A, B"
demo_ocr_output.parquet,2019_maths_1.pdf,"Q.4 Let $M = \begin{bmatrix} 0 & 1 & a \\ 1 & 2 & 3 \\ 3 & b & 1 \end{bmatrix}$ and $\operatorname{adj} M = \begin{bmatrix} -1 & 1 & -1 \\ 8 & -6 & 2 \\ -5 & 3 & -1 \end{bmatrix}$ where $a$ and $b$ are real numbers. Which of the following options is/are correct?

A. $(\operatorname{adj} M)^{-1} + \operatorname{adj} M^{-1} = -M$

B. If $M \begin{bmatrix} \alpha \\ \beta \\ \gamma \end{bmatrix} = \begin{bmatrix} 1 \\ 2 \\ 3 \end{bmatrix}$, then $\alpha - \beta + \gamma = 3$

C. $\det(\operatorname{adj} M^2) = 81$

D. $a + b = 3$","A, B, D"
demo_ocr_output.parquet,2019_maths_1.pdf,"Q.5 Define the collections $\{E_1, E_2, E_3, \dots\}$ of ellipses and $\{R_1, R_2, R_3, \dots\}$ of rectangles as follows:

$E_1 : \frac{x^2}{9} + \frac{y^2}{4} = 1$;

$R_1$ : rectangle of largest area, with sides parallel to the axes, inscribed in $E_1$;

$E_n$ : ellipse $\frac{x^2}{a_n^2} + \frac{y^2}{b_n^2} = 1$ of largest area inscribed in $R_{n-1}$, $n > 1$;

$R_n$ : rectangle of largest area, with sides parallel to the axes, inscribed in $E_n$, $n > 1$.

Then which of the following options is/are correct?

A. $\displaystyle \sum_{n=1}^{N} (\text{area of } R_n) < 24$, for each positive integer $N$

B. The distance of a focus from the centre in $E_9$ is $\frac{\sqrt{5}}{32}$

C. The eccentricities of $E_{18}$ and $E_{19}$ are NOT equal

D. The length of latus rectum of $E_9$ is $\frac{1}{6}$",
demo_ocr_output.parquet,2019_maths_1.pdf,"Q.6 Let $f:\mathbb{R}\rightarrow\mathbb{R}$ be given by
\[\begin{cases}
 x^5 + 5x^4 + 10x^3 + 10x^2 + 3x + 1, & x < 0; \\
 x^2 - x + 1, & 0 \le x < 1; \\
 \frac{2}{3}x^3 - 4x^2 + 7x - \frac{8}{3}, & 1 \le x < 3; \\
 (x-2)\log_e(x-2) - x + \frac{10}{3}, & x \ge 3.
\end{cases}\]
Then which of the following options is/are correct?

A. $f'$ has a local maximum at $x = 1$

B. $f'$ is NOT differentiable at $x = 1$

C. $f$ is onto

D. $f$ is increasing on $(-\infty, 0)$","A, B, C"
demo_ocr_output.parquet,2019_maths_1.pdf,"Q.7 Let $L_1$ and $L_2$ denote the lines $\vec r = \hat i + \lambda(-\hat i + 2\hat j + 2\hat k),\; \lambda \in \mathbb{R}$ and $\vec r = \mu(2\hat i - \hat j + 2\hat k),\; \mu \in \mathbb{R}$ respectively. If $L_3$ is a line which is perpendicular to both $L_1$ and $L_2$ and cuts both of them, then which of the following options describe(s) $L_3$?

A. $\vec r = \frac{2}{9}(4\hat i + \hat j + \hat k) + t(2\hat i + 2\hat j - \hat k),\; t \in \mathbb{R}$

B. $\vec r = \frac{1}{3}(2\hat i + \hat k) + t(2\hat i + 2\hat j - \hat k),\; t \in \mathbb{R}$

C. $\vec r = \frac{2}{9}(2\hat i - \hat j + 2\hat k) + t(2\hat i + 2\hat j - \hat k),\; t \in \mathbb{R}$

D. $\vec r = t(2\hat i + 2\hat j - \hat k),\; t \in \mathbb{R}$","A, B, C"
demo_ocr_output.parquet,2019_maths_1.pdf,"Q.8 There are three bags $B_1, B_2$ and $B_3$. The bag $B_1$ contains 5 red and 5 green balls, $B_2$ contains 3 red and 5 green balls and $B_3$ contains 5 red and 3 green balls. Bags $B_1, B_2$ and $B_3$ have probabilities $\frac{3}{10}, \frac{3}{10}$ and $\frac{4}{10}$ respectively of being chosen. A bag is selected at random and a ball is chosen at random from the bag. Then which of the following options is/are correct?

A. Probability that the chosen ball is green equals $\frac{39}{80}$

B. Probability that the chosen ball is green, given that the selected bag is $B_3$, equals $\frac{3}{8}$

C. Probability that the selected bag is $B_3$ and the chosen ball is green equals $\frac{3}{10}$

D. Probability that the selected bag is $B_3$, given that the chosen ball is green, equals $\frac{5}{13}$","A, B"
demo_ocr_output.parquet,2019_maths_1.pdf,"Q.1 Let $\omega \neq 1$ be a cube root of unity. Then the minimum of the set $\{ |a + b\omega + c\omega^2|^2 : a, b, c \text{ distinct non‑zero integers} \}$ equals _____",3.00
demo_ocr_output.parquet,2019_maths_1.pdf,Q.2 If $I = \frac{2}{\pi} \int_{-\pi/4}^{\pi/4} \frac{dx}{(1 + e^{\sin x})(2 - \cos 2x)}$ then $27 I^2$ equals _____,4.00
demo_ocr_output.parquet,2019_maths_1.pdf,"Q.3 Let $S$ be the sample space of all $3 \times 3$ matrices with entries from the set $\{0, 1\}$. Let the events $E_1$ and $E_2$ be given by $E_1 = \{A \in S : \det A = 0\}$ and $E_2 = \{A \in S : \text{sum of entries of } A \text{ is } 7\}$. If a matrix is chosen at random from $S$, then the conditional probability $P(E_1 \mid E_2)$ equals _____",0.50
demo_ocr_output.parquet,2019_maths_1.pdf,"Q.4 Let the point $B$ be the reflection of the point $A(2, 3)$ with respect to line $8x - 6y - 23 = 0$. Let $\Gamma_A$ and $\Gamma_B$ be circles of radii $2$ and $1$ with centres $A$ and $B$ respectively. Let $T$ be a common tangent to the circles $\Gamma_A$ and $\Gamma_B$ such that both the circles are on the same side of $T$. If $C$ is the point of intersection of $T$ and the line passing through $A$ and $B$, then the length of the line segment $AC$ is _____",10.00
demo_ocr_output.parquet,2019_maths_1.pdf,Q.5 Let $AP(a; d)$ denote the set of all the terms of an infinite arithmetic progression with first term $a$ and common difference $d > 0$. If $AP(1; 3) \cap AP(2; 5) \cap AP(3; 7) = AP(a; d)$ then $a + d$ equals _____,157.00
demo_ocr_output.parquet,2019_maths_1.pdf,"Q.6 Three lines are given by $\vec r = \lambda \hat i$, $\lambda \in \mathbb{R}$ , $\vec r = \mu (\hat i + \hat j)$, $\mu \in \mathbb{R}$ and $\vec r = \nu (\hat i + \hat j + \hat k)$, $\nu \in \mathbb{R}$. Let the lines cut the plane $x + y + z = 1$ at the points $A, B$ and $C$ respectively. If the area of the triangle $ABC$ is $\Delta$ then the value of $(6\Delta)^2$ equals _____",0.75
demo_ocr_output.parquet,2024_maths_1.pdf,"Q.1 Let f(x) be a continuously differentiable function on the interval (0, ∞) such that f(1) = 2 and \lim_{t \rightarrow x} \frac{t^{10}f(x) - x^{10}f(t)}{t^9 - x^9} = 1 for each x > 0 . Then, for all x > 0 , f(x) is equal to (A) \frac{31}{11x} - \frac{9}{11}x^{10} (B) \frac{9}{11x} + \frac{31}{11}x^{10} (C) \frac{9}{11x} + \frac{31}{11}x^{10} (D) \frac{13}{11x} + \frac{9}{11}x^{10}",B
demo_ocr_output.parquet,2024_maths_1.pdf,"Q.2 A student appears for a quiz consisting of only true-false type questions and answers all the questions. The student knows the answers of some questions and guesses the answers for the remaining questions. Whenever the student knows the answer of a question, he gives the correct answer. Assume that the probability of the student giving the correct answer for a question, given that he has guess it, is \frac{1}{2} . Also assume that the probability of the answer for a question being guessed, given that the student's answer is correct, is \frac{1}{6} . Then the probability that the student knows the answer of a randomly chosen question is (A) \frac{1}{12} (B) \frac{1}{7} (C) \frac{5}{7} (D) \frac{5}{12}",C
demo_ocr_output.parquet,2024_maths_1.pdf,Q.3 Let \frac{\pi}{2} < x < \pi be such that \cot x = \frac{-5}{\sqrt{11}} . Then \left(\sin \frac{11x}{2}\right)(\sin 6x - \cos 6x) + \left(\cos \frac{11x}{2}\right)(\sin 6x + \cos 6x) is equal to (A) \frac{\sqrt{11}-1}{2\sqrt{3}} (B) \frac{\sqrt{11}+1}{2\sqrt{3}} (C) \frac{\sqrt{11}+1}{3\sqrt{2}} (D) \frac{\sqrt{11}-1}{3\sqrt{2}},B
demo_ocr_output.parquet,2024_maths_1.pdf,"Q.4 Consider the ellipse \frac{x^2}{9} + \frac{y^2}{4} = 1 . Let S(p, q) be a point in the first quadrant such that \frac{p^2}{9} + \frac{q^2}{4} > 1 . Two tangents are drawn from S to the ellipse, of which one meets the ellipse at one end point of the minor axis and the other meets the ellipse at a point T in the fourth quadrant. Let R be the vertex of the ellipse with positive x -coordinate and O be the centre of the ellipse. If the area of the triangle \Delta ORT is \frac{3}{2} , then which of the following options is correct ? (A) q = 2, p = 3\sqrt{3} (B) q = 2, p = 4\sqrt{3} (C) q = 1, p = 5\sqrt{3} (D) q = 1, p = 6\sqrt{3}",A
demo_ocr_output.parquet,2024_maths_1.pdf,"*Q.5 Let $S = \{a + b\sqrt{2} : a, b \in \mathbb{Z}\}$, $T_1 = \{(-1 + \sqrt{2})^n : n \in \mathbb{Z}\}$, and $T_2 = \{(1 + \sqrt{2})^n : n \in \mathbb{N}\}$. Then which of the following statements is(are) TRUE ? (A) $Z \cup T_1 \cup T_2 \subset S$ (B) $T_1 \cap \left(0, \frac{1}{2024}\right) = \phi$, where $\phi$ denotes the empty set (C) $T_2 \cap (2024, \infty) \ne \phi$ (D) For any given $a, b \in \mathbb{Z}$, $\cos(\pi(a + b\sqrt{2})) + i\sin(\pi(a + b\sqrt{2})) \in \mathbb{Z}$ if and only if $b = 0$, where $i = \sqrt{-1}$","A, C, D"
demo_ocr_output.parquet,2024_maths_1.pdf,"Q.6 Let R 2 denote R \times R. Let S = { (a, b, c) : a, b, c \in R and ax 2 + 2bxy + cy 2 > 0 for all (x, y) \in R 2 \minus {(0, 0)} } Then which of the following statements is (are) TRUE? (A) \left(2, \frac{7}{2}, 6\right) \in S (B) If \left(3, b, \frac{1}{12}\right) \in S , then |2b| < 1 (C) For any given (a, b, c) \in S, then the system of linear equations ax + by = 1 bx + cy = -1 has a unique solution. (D) For any given (a, b, c) \in S, then the system of linear equations (a + 1)x + by = 0 bx + (c + 1)y = 0 has a unique solution.","B, C, D"
demo_ocr_output.parquet,2024_maths_1.pdf,"Q.7 Let R 3 denote the three dimensional space. Take two points P = (1, 2, 3) and Q = (4, 2, 7). Let dist(X, Y) denote the distance between two points X and Y in R 3 . Let S = {X \in R 3 : (dist(X, P)) 2 - (dist(X, Q)) 2 = 50} and T = {Y \in R 3 : (dist(Y, Q)) 2 - (dist(Y, P)) 2 = 50}. Then which of the following statements is(are) TRUE ? (A) There is a triangle whose area is 1 and all of whose vertices are from S. (B) There are two distinct points L and M in T such that each point on the line segments LM is also in T. (C) There are infinitely many rectangles of perimeter 48, two of whose vertices are from S and the other two vertices are from T. (D) There is a square of perimeter 48, two of whose vertices are from S and the other two vertices are from T.","A, B, C, D"
demo_ocr_output.parquet,2024_maths_1.pdf,"*Q.8 Let a = 3\sqrt{2} and b = \frac{1}{5^{1/6}\sqrt{6}} . If x, y \in \mathbb{R} are such that 3x + 2y = \log_a(18)^{5/4} \text{ and } 2x - y = \log_b(\sqrt{1080}) then 4x + 5y is equal to _____ .",8
demo_ocr_output.parquet,2024_maths_1.pdf,"Q.9 Let f(x) = x^4 + ax^3 + bx^2 + c be a polynomial with real coefficients such that f(1) = -9 . Suppose that i\sqrt{3} is a root of the equation 4x^3 + 3ax^2 + 2bx = 0 , where i = \sqrt{-1} . If \alpha_1, \alpha_2, \alpha_3, and \alpha_4 are all the roots of the equation f(x) = 0 , then |\alpha_1|^2 + |\alpha_2|^2 + |\alpha_3|^2 + |\alpha_4|^2 is equal to _____ .",20
demo_ocr_output.parquet,2024_maths_1.pdf,"Q.10 Let $S = \{ A = \begin{pmatrix} 0 & 1 & c \\ 1 & a & d \\ 1 & b & e \end{pmatrix} : a, b, c, d, e \in \{0, 1\} \text{ and } |A| \in \{-1, 1\} \}$, where $|A|$ denotes the determinant of $A$. Then the number of elements in $S$ is _____.",16
demo_ocr_output.parquet,2024_maths_1.pdf,"Q.11 A group of 9 students $s_1, s_2, \dots, s_9$ is to be divided to form three teams $X, Y$ and $Z$ of sizes 2, 3 and 4 respectively. Suppose that $s_1$ cannot be selected for the team $X$, and $s_2$ cannot be selected for team $Y$. Then the number of ways to form such teams, is _____.",665
demo_ocr_output.parquet,2024_maths_1.pdf,"Q.12 Let \vec{OP} = \frac{\alpha-1}{\alpha} \hat{i} + \hat{j} + \hat{k}, \vec{OQ} = \hat{i} + \frac{\beta-1}{\beta} \hat{j} + \hat{k} and \vec{OR} = \hat{i} + \hat{j} + \frac{1}{2} \hat{k} be three vectors, where $\alpha, \beta \in \mathbb{R} - \{0\}$ and O denotes the origin. If $(\vec{OP} \times \vec{OQ}) \cdot \vec{OR} = 0$ and the point $(\alpha, \beta, 2)$ lies on the plane $3x + 3y - z + l = 0$, then the value of $l$ is _____.",5
demo_ocr_output.parquet,2024_maths_1.pdf,"Q.13 Let X be a random variable, and let P(X = x) denote the probability that X takes the values x. Suppose that the points (x, P(X = x)), x = 0, 1, 2, 3, 4, lie on a fixed straight line in the xy-plane, and P(X = x) = 0 for all x \in R – {0, 1, 2, 3, 4}. If the mean of X is \frac{5}{2} , and the variance of X is \alpha , then the value of 24\alpha is ____ .",42
demo_ocr_output.parquet,2024_maths_1.pdf,"Q.14 Let \alpha and \beta be the distinct roots of the equation x^2 + x – 1 = 0. Consider the set T = {1, \alpha, \beta}. For a 3 \times 3 matrix M = (a_{ij})_{3\times3} , define R_i = a_{i1} + a_{i2} + a_{i3} and C_j = a_{1j} + a_{2j} + a_{3j} for i = 1, 2, 3 and j = 1, 2, 3. Match each entry in List-I to the correct entries in List-II. List – I List – II (P) The number of matrices M = (a_{ij})_{3\times3} with all entries in T such that R_i = C_j = 0 for all i, j, is (1) 1 (Q) The number of symmetric matrices M = (a_{ij})_{3\times3} with all entries in T such that C_j = 0 for all j, is (2) 12 (R) Let M = (a_{ij})_{3\times3} be a skew symmetric matrix such that a_{ij} \in T for i > j. Then the number of elements in the set \left\{ \begin{pmatrix} x \\ y \\ z \end{pmatrix} : x, y, z \in R, M \begin{pmatrix} x \\ y \\ z \end{pmatrix} = \begin{pmatrix} a_{12} \\ 0 \\ -a_{23} \end{pmatrix} \right\} is (3) infinite (S) Let M = (a_{ij})_{3\times3} be a matrix with all entries in T such that R_i = 0 for all i. Then the absolute value of determinant of M is (4) (5) 6 0",C
demo_ocr_output.parquet,2024_maths_1.pdf,"*Q.15 Let the straight line y = 2x touch a circle with centre (0, \alpha), \alpha > 0, and radius r at a point A_1 . Let B_1 be the point on the circle such the line segment A_1 B_1 is a diameter of the circle. Let \alpha + r = 5 + \sqrt{5}. *. Match each entry in List-I to the correct entries in List-II. List – I List – II (P) \alpha equals (1) (-2, 4) (Q) r equals (2) \sqrt{5} (R) A_1 equals (3) (-2, 6) (S) B_1 equals (4) 5 (5) (2, 4) The correct option is: (A) (P) \rightarrow (4) (Q) \rightarrow (2) (R) \rightarrow (1) (S) \rightarrow (3) (B) (P) \rightarrow (2) (Q) \rightarrow (4) (R) \rightarrow (1) (S) \rightarrow (3) (C) (P) \rightarrow (4) (Q) \rightarrow (2) (R) \rightarrow (5) (S) \rightarrow (3) (D) (P) \rightarrow (2) (Q) \rightarrow (4) (R) \rightarrow (3) (S) \rightarrow (5)",C
demo_ocr_output.parquet,2024_maths_1.pdf,"Q.16 Let \gamma \in \mathbb{R} be such that the lines L_1 : \frac{x+11}{1} = \frac{y+21}{2} = \frac{z+29}{3} and L_2 : \frac{x+16}{3} = \frac{y+11}{2} = \frac{z+4}{\gamma} intersect. Let R_1 be the point of intersection of L_1 and L_2 . Let O = (0, 0, 0) , and \hat{n} denote a unit normal vector to the plane containing both the lines L_1 and L_2 . Match each entry in List-I to the correct entries in List-II . List – I List – II (P) \gamma equals (1) -\hat{i} - \hat{j} + \hat{k} (Q) A possible choice for \hat{n} is (2) \sqrt{\frac{3}{2}} (R) \overline{OR_1} equals (3) 1 (S) A possible value of \overline{OR_1} \cdot \hat{n} is (4) \frac{1}{\sqrt{6}}\hat{i} - \frac{2}{\sqrt{6}}\hat{j} + \frac{1}{\sqrt{6}}\hat{k} (5) \sqrt{\frac{2}{3}} The correct option is: (A) (P) \rightarrow (3) (Q) \rightarrow (4) (R) \rightarrow (1) (S) \rightarrow (2) (B) (P) \rightarrow (5) (Q) \rightarrow (4) (R) \rightarrow (1) (S) \rightarrow (2) (C) (P) \rightarrow (3) (Q) \rightarrow (4) (R) \rightarrow (1) (S) \rightarrow (5) (D) (P) \rightarrow (3) (Q) \rightarrow (1) (R) \rightarrow (4) (S) \rightarrow (5)",C
